名称,地点,薪资,招聘需求,详情网址,区域
兼职php开发工程师,上海·崇明区·南门,3-8K,"3-5年,本科",https://www.zhipin.com/job_detail/e83b0817a29e09d51Hd93t2-F1NZ.html?lid=4R66DVQbjLz.search.1&securityId=M1bTJ4IcKwUsO-i1OBBT7LXr0wya8Nw3fFsCfDQvG5lzGxsI6sPXDO3P4hQRYNacC-226v8M9ITfM6Gz90HOtw_mmOt0rOsaN6oFjs9RYPC04wSDNDJ6795HaLgci63PDpnoBCctyCPH&sessionId=,崇明区
船用主机调试工程师,上海·崇明区·长兴岛,9-12K,"经验不限,大专",https://www.zhipin.com/job_detail/be1141f9592b9ff71HF50tq8FFJS.html?lid=4R66DVQbjLz.search.2&securityId=VficECiGyJtaM-81nuZoJdO-p_rgbA5mgYXSapBJiLTva85yecnxRbgph_MInqfWJarqT_h0T0J2go7HqEcL_gpj8u-X9CxO4DrXY1lJaWDRhFPJRSi3HxOYh00UUYc4N6lmrhE6nUkaUA~~&sessionId=,崇明区
管道工程师,上海,10-15K,"3-5年,大专",https://www.zhipin.com/job_detail/f82a56250d0fa9601HB-2di_E1VU.html?lid=4R66DVQbjLz.search.3&securityId=yGNol7JidtPeQ-r1Tv-KFgHehBwF8tAm2AAwnQxecMjtYZ09uNVlnlOB0GNP_M2CdOTHUHl0Ok5cr3RMFgdkNg41XBwE6n5iAOqAwS95JVJJyWqI87Mp0_vO05e5rVHvh77myrbOeMrVKA~~&sessionId=,崇明区
软件工程师,上海·崇明区·陈家,5-10K,"1-3年,本科",https://www.zhipin.com/job_detail/263822c4523d10da1HB929W7FVZY.html?lid=4R66DVQbjLz.search.4&securityId=6WOqcplmMerPx-U1lgJod2pzsqxWvo-3vk4sylLOvjKbjPqmMEdTJ8OeKbsVGDfh2ZqilFcgtoawB1eYo2mExH5c0YxKgC0qizy_dP5hBimgHibm3-XJGeF7Pcyw8yziis9EbYJhn_GdpA~~&sessionId=,崇明区
机械自动化工程师,上海·崇明区·长兴岛,10-15K·15薪,"经验不限,本科",https://www.zhipin.com/job_detail/83d310fd5bc4e8601XR62921EVNW.html?lid=4R66DVQbjLz.search.5&securityId=_cWuwzIUZPY8F-W1mmbYbCjjp-Gchzx86Q9a2CNFYuj_73jh69vEJzsDrygMra-3T2e0BgJZJvZlO8XFJgm8LQv3gz_SFmKPDkJ8oo51CEKloeHNEw68XvzpWswQLHmanKkCHknjZW4x4Q~~&sessionId=,崇明区
全栈开发高级工程师,上海·崇明区·陈家,13-20K,"5-10年,本科",https://www.zhipin.com/job_detail/66f5c89f8fec323a1HB53NW6FVBW.html?lid=4R66DVQbjLz.search.6&securityId=R8tiCE9B1k7Tk-g1OVmlH0-WZUwZ-M-5UHTn0WuJeD03WBwhHL5Ig_QtCZiPAQuSOYqgaZTmXYGv9ct1scEPBXa8AuK52HNoLmyNSdcGPHcKFNIH1pfczvwR3LdW1-8DhSHKOdDeBiMQ&sessionId=,崇明区
测绘技术员及工程师,上海·崇明区·城桥,7-11K·13薪,"3-5年,大专",https://www.zhipin.com/job_detail/46c940b2d05ae1b61Hd42964GFpV.html?lid=4R66DVQbjLz.search.7&securityId=geMhIbWRjLPcG-G1iFRmAJj7gnZvK7Nw1xTah8tVN2W6ZxYBrX9Ow-HPoY3PvdNX1TsmKw_qVcgoDUiI1geRZtK2I_yFdiyCGeqQJkdpLIaDimuz3HcPrio2yHWKrxzAi72OvnqMAb1Qgw~~&sessionId=,崇明区
软件工程师,上海·崇明区·陈家,5-8K,"1-3年,本科",https://www.zhipin.com/job_detail/700795e40ddd901b1HR42Nq6FlpY.html?lid=4R66DVQbjLz.search.8&securityId=FOfXwrSW3dRmb-J1iLROHWedl12prLHWZ93mM31C25xI69leWBboAqjM0i0kPxtILbybX3VBGFN153ecVIANts8KNXsPQ6MvuBwA776iznds_j4NczqRS_lg08uDvbQbS0yjPM5LLdgt&sessionId=,崇明区
低压电气工程师,上海,10-12K,"1-3年,大专",https://www.zhipin.com/job_detail/dfae4d71e0b449f81HB_3Nu1EVZT.html?lid=4R66DVQbjLz.search.9&securityId=fVxnDqV9xpdIu-b1CH4dfKY04xw9cYbdkiKeljfeUZGnfDCxecnD-Hvw8YQO-jOHoWfkeAegjaEC_roYif4ZNp5aHqXx2G9kkj9NfK7-EzvGce5_btKB9KAebyNwAu978o_5U5Fu-oJG&sessionId=,崇明区
项目工程师（上海）,上海·崇明区·长兴岛,8-12K,"3-5年,大专",https://www.zhipin.com/job_detail/29f9da7c6eb904981X162tu7FlpT.html?lid=4R66DVQbjLz.search.10&securityId=Da6OeCw8rYTeu-a171scsBCTiVgpQjiLpd6rT-MLJfcbxKZkKdvZwDhLo2CezcIYqTr-GxGwjIsvgOmS1WWW6-4D8XxB2kYxpYVzblkakfLT73glQ8dYeGW25XM9QciwfYfGarLugKrP&sessionId=,崇明区
